"commentId";"textOriginal";"authorDisplayName";"videoId";"publishedAt"
"Ugw__4b1jGiMCAC28v54AaABAg";"謝謝鴻源老師。👍👍👍✌️✌️✌️🙏🙏🙏👏👏👏🥰🥰🥰";"@lbj1073";"7VRycB7Iqms";"2025-01-28 23:57:02"
"Ugw__mS_GdW9tDow-Fh4AaABAg";"台灣國民全力支持你~
八炯加油！";"@黑皮-y9q";"4uC-aIHAPNU";"2025-01-30 23:48:12"
"Ugw__opFZrxaxqB8XQp4AaABAg";"有了指責 Deepseek 借口，下一部就是制裁，問題是看那一方的制裁令有殺傷力";"@honglaw2640";"p11ilNw4GAE";"2025-01-30 15:22:37"
"Ugw_05e7Kw0udDJU35N4AaABAg";"一定是中国干的 青鸟说的";"@worldvideo-u4z";"-ZApDfqWKds";"2025-01-31 10:14:21"
"Ugw_0aRBN7En6pdIqiV4AaABAg";"這孩子有天份~";"@ybc1536";"DUEudXkno2M";"2025-01-31 10:11:58"
"Ugw_0Rw_BYyHOeuLxdl4AaABAg";"我在柬埔寨 我支持大罷免國民黨!!!!!";"@cocobbc3653";"JpaoMgeBHHs";"2025-01-26 14:24:50"
"Ugw_1iVJu7dWEyp8KK54AaABAg";"被川普叫去喝咖啡了";"@huyafei7483";"waoCZ0QMNks";"2025-02-01 04:05:23"
"Ugw_24tPtMIiI6ftwAJ4AaABAg";"不看公視";"@naichunchang5522";"Z3BeIAn1T_0";"2025-01-21 10:58:14"
"Ugw_26Ni8qaD3A4O0Sp4AaABAg";"造謠抹黑抹紅是民進黨、三立、民視、年代最擅長的奧步，傻瓜白痴弱智才會相信它們說的話。";"@傅郁崇";"_2xa1YsdzGs";"2025-01-31 23:17:16"
"Ugw_2uK_LgkoC9xeyCx4AaABAg";"禍不過3😢";"@kangyun1985";"dr4pS62FdwM";"2025-02-01 03:24:16"
"Ugw_4b3_HszdsL_art94AaABAg";"少看到惡鬥。多補助給全民。全民只用卡讓觀光客無法賣淫不要給身份證避免假結婚";"@林惠君-h2w";"zylZNgjohsc";"2025-02-01 16:42:57"
"Ugw_6jaap8mpwbTLfRF4AaABAg";"說的好加油加油💪💪💪💪👍👍👍";"@張宸綺-u3s";"8aI7yg0_rlQ";"2025-01-24 08:03:58"
"Ugw_7u1cg-JAO4EF1vx4AaABAg";"不是抄就是騙 仿完自已再說高大上😂";"@傻傻瓜-z4m";"p4A62A8xNVw";"2025-01-30 05:58:41"
"Ugw_8wx98v8N9eKSeuF4AaABAg";"胡亂搞局，怎麼會有進步的基礎！！！收起私心，往好的方向走，才是良策。";"@chilamchan2049";"zylZNgjohsc";"2025-02-02 03:50:42"
"Ugw_9ji_41GyZh-y9114AaABAg";"這不是小朋友，這是特種兵…";"@BOOOOOOOOOOB";"DUEudXkno2M";"2025-01-31 09:54:08"
"Ugw_amLWioiM-7hdM014AaABAg";"慕芝注意，其實你只是中華人民共和國的居民，而算不上是國民，所以中华人民共和國憲法規定的人民有言論自由等等，你們根本享受不到。看看你的身份證，明明白白寫著，叫居民證，而不是台灣人的「國民身份證」。弄清楚，汝等黔首還不配享受「國民」待遇。";"@不知東方之既白";"G42BkQkZmHc";"2025-02-01 13:03:10"
"Ugw_AOlhaWOes7M9AwB4AaABAg";"亂砍 預算叫仇恨 媽的你祖輩不是反共大皇帝嗎 現在變民進黨戴仇恨進來 鬼選你當總統";"@hook1230";"_2xa1YsdzGs";"2025-01-31 11:14:29"
"Ugw_bca_i_dqih0d7k14AaABAg";"很多小看到大的幾十年老藝人, 隨著自己也中年大叔,不禁感嘆很多人也不在了, 時光很快, 天丫, 真的要珍惜所有身邊人,好久沒看到短劇了,好玩了";"@adefvhpwdega452";"T7YAKbtSS98";"2025-02-01 04:17:17"
"Ugw_beo4eRJiWfTjVjV4AaABAg";"無恥的假台灣人就是：舔共國民黨。";"@潘鈺屘";"tqSHP_6qkSk";"2025-02-02 02:18:45"
"Ugw_coJsNync1sgdOJ14AaABAg";"美国国安又出问题了😂";"@gkboy806";"p4A62A8xNVw";"2025-01-30 03:11:33"
"Ugw_CVYOebYPQtXgE4V4AaABAg";"中國可以輸出家政勞力，成為家政勞力大國😂";"@超-f4x";"WatPn-5B0AA";"2025-02-01 15:34:07"
"Ugw_DCTj2Fejzg3IbKB4AaABAg";"鬧貪都有
還有亂";"@婁素娥";"Hj-zvzT7gh4";"2025-01-31 11:53:03"
"Ugw_DCY-5mJhelk45RV4AaABAg";"罷掉藍白親共的無能立委，臺灣人加油";"@蔡愛玉-s2i";"JpaoMgeBHHs";"2025-01-28 08:42:03"
"Ugw_dt7rvBMWowIBUuJ4AaABAg";"我也很喜歡JD Vance !";"@lucywang5223";"PcWU8DzfSnI";"2025-01-31 19:38:27"
"Ugw_ENJ7HitwxFBhEZt4AaABAg";"如果说谎话当一个行政院长老天会报应帮不下去就辞职也不是只有你而已天道的笑话";"@美貴-c1e";"3RnS1xisw00";"2025-01-24 09:41:27"
"Ugw_etBAplZ5wKduDwJ4AaABAg";"台灣那些舔共藍白垃圾立委必須讓牠們消失,否則難保這些機密會被賣掉!!";"@bj59715";"zdXC9xGQCi0";"2025-01-31 13:03:40"
"Ugw_fa_3aa-YlsoA6r94AaABAg";"外國人都看得懂 台灣人竟然還有人看不懂 少數的台灣人真的日子過太爽了";"@我只是路過看熱鬧的";"sye1eRmx0w8";"2025-02-01 05:03:54"
"Ugw_FkhUb0M23DwFRld4AaABAg";"朱主席，ㄧ起出來玩罷免遊戲吧！ ㄧ直躲在廁所精算？ 人算不如天算的！ 台灣人民就是這個國家的主人，我們都決定要罷免ㄧ些親共、害台、亂政又勾結中國的台奸！ 你們國民黨騙台灣人喊説
愛台灣？ 全都在騙選票！ 罷免一些無能爛立委，這是公民的權利！";"@ThomasChiang-u4h";"5ji5n2WrwxU";"2025-01-27 10:02:53"
"Ugw_FVlFMDAckHe_Zxp4AaABAg";"片面之詞何足採信 , 等待更多證據 .";"@鈞程";"p11ilNw4GAE";"2025-01-30 08:56:35"
"Ugw_guNd9buLT3TCrEt4AaABAg";"太有智慧了";"@朱文智-x8s";"1YAadTWkMzo";"2025-01-31 15:06:00"
"Ugw_GUqZm0JkU9z9gM14AaABAg";"哇塞，于北辰统领地表最强坦克横扫亚洲！呆湾独立指日可待";"@kaiyoung6199";"Ch0YHgCbAbQ";"2025-01-30 17:58:47"
"Ugw_Gv3lc_UNTqJB3mV4AaABAg";"總算有點年節的氣氛了🎉
謝謝華視，謝謝瓜哥跟一眾用心的藝人🎉";"@elfintak";"T7YAKbtSS98";"2025-02-02 04:17:35"
"Ugw_GytM74tWUji2rqJ4AaABAg";"全民反共，拔傅剿匪";"@hankspmp";"dQsng5Md9nE";"2025-01-31 14:15:19"
"Ugw_gz6u5giPtHOhXet4AaABAg";"留言好多簡體字😂";"@sixenses_visuals";"BVKp9MgFThI";"2025-01-31 10:20:19"
"Ugw_i90eFxldwsLxOIp4AaABAg";"綠翼";"@孫亮張";"-zX-hd4Y5Lg";"2025-01-25 05:59:20"
"Ugw_idda_E_unFuePqB4AaABAg";"台灣這次大罷免真的要團結起，把這些人罷免掉，大選完才一年，看看他們推了多少違憲法案，不逐一審查國家預算，不高興就亂編理由刪預算，軍警消也全刪，用這樣的手段威脅，這樣是合格的立法委員嗎？他們領我們人民納稅錢沒有專業的審核預算，幫助國家進步發展，利用職權毀憲亂政，想要控制司法，讓台灣變香港，這次罷免不掉他們，你能想像3年後你還能罷免嗎?你還有選舉權嗎?還能釋憲嗎?立法院的立委都變中國人了，下次總統選舉是不是也變成中國人了，台灣人民請站出來，不要再無視了或許已經沒有下次了";"@qbbs2001";"_2xa1YsdzGs";"2025-02-01 02:51:26"
"Ugw_iFGhuUxe2y0_6ZR4AaABAg";"真的假的啊";"@jasonsu9384";"qDdQH5m9UVk";"2025-02-01 12:18:22"
"Ugw_IHTrQ0wlCm49oyB4AaABAg";"世宗真的超帥🤤🤤讓他多點戲份";"@evonnelin7988";"h6Iq16pXTKg";"2025-02-01 07:14:55"
"Ugw_ik7hVgQJPV4IakZ4AaABAg";"合法安樂死更重要";"@wenchi5403";"o5nacL1RNa8";"2025-02-02 05:51:39"
"Ugw_IUdnnb7rbWIbhWh4AaABAg";"大外宣打的太響，結果美國大量跑來測試，撐不住就說是攻擊...

正常哪有黑客刻意不攻擊網頁，不攻擊域名服務器，而去刻意「只」攻擊後端，域名服務跟網頁服務器都很正常，反而Deepseek網頁版的網路搜尋跟api平台更是直接關掉或中斷。

網路搜尋功能這種流出流量還能被攻擊？乾脆直接說百度攻擊你算了。

然後說被攻擊，結果處理方式是把注冊關掉？攻擊會因為不能注冊就無效，這技術會不會太弱？被小學生攻擊？

明擺深怕別人發現算力用太凶，戳破顯卡根本不夠用的事實。";"@一十K";"p4A62A8xNVw";"2025-01-30 01:38:29"
"Ugw_JfQRLtQoTCpj6bJ4AaABAg";"跟這種人打交道會偏底自己的身份。";"@fatboy9527";"4uC-aIHAPNU";"2025-01-31 21:03:42"
"Ugw_JxEhD3W0MDyaXQp4AaABAg";"心有戚戚焉";"@世界大同-x2x";"7VRycB7Iqms";"2025-01-30 00:28:51"
"Ugw_KiLx4RexUn1Ukih4AaABAg";"滄海一身笑，人家就算抄襲仿冒也做的出來，台灣做的出來麻，滄海一聲笑";"@仇志誠-z3b";"1YAadTWkMzo";"2025-01-31 16:22:39"
"Ugw_kL06W1D_tgYgHUR4AaABAg";"還假裝自己不是蟾蜍";"@j6284";"-zX-hd4Y5Lg";"2025-01-26 02:30:00"
"Ugw_kqVPx_HrWNuCTbh4AaABAg";"這種事 美國在韓國駐軍都搞不定,怎麽可能幫忙到台灣,關鍵還是綠黨和民衆,";"@seanthai-g4d";"6A724ibZ5bI";"2025-01-29 12:50:30"
"Ugw_KR4qs6kZ24rlidl4AaABAg";"默默一股力量起來．因果循餵、老百女生忍太久了";"@高朝順";"-XAneG3kOs8";"2025-01-29 21:22:53"
"Ugw_msBs0lSHwiD5ccp4AaABAg";"民眾黨都說科幻小說 怎麼都實現了呢";"@BirBir249";"nll7UBHfDY0";"2025-01-29 01:21:12"
"Ugw_myDSy_t9vU4SbyR4AaABAg";"華視是民進黨黨媒，可信性是0。😂删除評論自絕三代。";"@edwards4461";"bGTue0I3oK0";"2025-01-31 10:57:09"
"Ugw_Mz04z-E1brLzt1F4AaABAg";"無法貪污";"@蔡宗翰-d3f";"3RnS1xisw00";"2025-01-31 02:13:12"
"Ugw_NFV640MH5ynp-sF4AaABAg";"其實有些人的面容 跟講話模式 不適合做服務業

最慘的是 面容加上口氣都不好 那就早晚跟人衝突";"@變態-r3b";"CV2F9iC1Pkg";"2025-02-01 10:35:35"
